"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0046651","GO:0046651","lymphocyte proliferation","26/211","300/18604",0.0866666666666667,7.64145339652449,12.4210179267848,7.83622597237488e-16,2.22217013547338e-12,1.73992984063679e-12,"PLA2G2A/FCGR3A/FCGR2B/TNFSF18/CD86/CD38/IL7R/GAPT/CD74/DOCK2/LST1/AIF1/HLA-DMB/IL6/GPNMB/PIK3CG/CDKN2A/ANXA1/TNFSF8/IGF2/CLECL1P/GPR183/TNFSF14/CD209/LILRB1/SASH3",26
"GO:0032943","GO:0032943","mononuclear cell proliferation","26/211","308/18604",0.0844155844155844,7.44297408752385,12.2120929842315,1.48045978379306e-15,2.22217013547338e-12,1.73992984063679e-12,"PLA2G2A/FCGR3A/FCGR2B/TNFSF18/CD86/CD38/IL7R/GAPT/CD74/DOCK2/LST1/AIF1/HLA-DMB/IL6/GPNMB/PIK3CG/CDKN2A/ANXA1/TNFSF8/IGF2/CLECL1P/GPR183/TNFSF14/CD209/LILRB1/SASH3",26
"GO:0070661","GO:0070661","leukocyte proliferation","26/211","344/18604",0.0755813953488372,6.66405819464345,11.3569830275552,2.07435756341797e-14,2.07574046846024e-11,1.62527734705695e-11,"PLA2G2A/FCGR3A/FCGR2B/TNFSF18/CD86/CD38/IL7R/GAPT/CD74/DOCK2/LST1/AIF1/HLA-DMB/IL6/GPNMB/PIK3CG/CDKN2A/ANXA1/TNFSF8/IGF2/CLECL1P/GPR183/TNFSF14/CD209/LILRB1/SASH3",26
"GO:0002460","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","27/211","384/18604",0.0703125,6.19949644549763,11.0270449972651,3.67257079829116e-14,2.75626438411752e-11,2.15811857699583e-11,"RORC/FCGR3A/FCGR2C/FCGR3B/FCGR2B/TNFSF18/IL7R/C7/CD74/BTN3A2/HLA-B/C2/C4A/C4B/HLA-DRA/IL6/ANXA1/SERPING1/C1S/C1R/CD69/CLEC7A/B2M/C3/LILRB1/TLR8/SASH3",27
"GO:1903037","GO:1903037","regulation of leukocyte cell-cell adhesion","26/211","393/18604",0.0661577608142494,5.83317053169808,10.3721295402031,4.64055578843693e-13,2.49889543179167e-10,1.9566020895511e-10,"PLA2G2A/TNFSF18/GLI2/CD86/IL7R/CD74/ADTRP/AIF1/HLA-DRA/HLA-DQA2/HLA-DQB2/HLA-DMB/HLA-DOA/IL6/GPNMB/CDKN2A/ANXA1/GCNT1/IGF2/CLECL1P/CD69/B2M/TNFSF14/CD209/LILRB1/SASH3",26
"GO:0050670","GO:0050670","regulation of lymphocyte proliferation","21/211","243/18604",0.0864197530864197,7.61968287402726,11.1249634073151,5.76093827757808e-13,2.49889543179167e-10,1.9566020895511e-10,"PLA2G2A/FCGR3A/FCGR2B/TNFSF18/CD86/CD38/CD74/LST1/AIF1/HLA-DMB/IL6/GPNMB/CDKN2A/ANXA1/TNFSF8/IGF2/CLECL1P/GPR183/CD209/LILRB1/SASH3",21
"GO:0007159","GO:0007159","leukocyte cell-cell adhesion","27/211","431/18604",0.0626450116009281,5.52344926930647,10.1765713317368,5.82687142656285e-13,2.49889543179167e-10,1.9566020895511e-10,"PLA2G2A/SELL/TNFSF18/GLI2/CD86/IL7R/CD74/ADTRP/AIF1/HLA-DRA/HLA-DQA2/HLA-DQB2/HLA-DMB/HLA-DOA/IL6/GPNMB/CDKN2A/ANXA1/GCNT1/IGF2/CLECL1P/CD69/B2M/TNFSF14/CD209/LILRB1/SASH3",27
"GO:0032944","GO:0032944","regulation of mononuclear cell proliferation","21/211","248/18604",0.0846774193548387,7.46606023543801,10.9795109754599,8.56697576741681e-13,3.21475765672316e-10,2.51711274850549e-10,"PLA2G2A/FCGR3A/FCGR2B/TNFSF18/CD86/CD38/CD74/LST1/AIF1/HLA-DMB/IL6/GPNMB/CDKN2A/ANXA1/TNFSF8/IGF2/CLECL1P/GPR183/CD209/LILRB1/SASH3",21
"GO:0050863","GO:0050863","regulation of T cell activation","25/211","393/18604",0.0636132315521628,5.60881781894046,9.89066186093203,3.20134665681169e-12,1.06782696263874e-09,8.36094395866726e-10,"PLA2G2A/TNFSF18/GLI2/CD86/IL7R/CD74/AIF1/HLA-DRA/HLA-DQA2/HLA-DQB2/HLA-DMB/HLA-DOA/IL6/GPNMB/CDKN2A/ANXA1/TNFSF8/IGF2/CLECL1P/CD69/B2M/TNFSF14/CD209/LILRB1/SASH3",25
"GO:0002443","GO:0002443","leukocyte mediated immunity","27/211","471/18604",0.0573248407643312,5.05436652881336,9.54564031557899,4.65557753247106e-12,1.36560851441074e-09,1.06925341445324e-09,"CD84/FCGR3A/FCGR2C/FCGR3B/FCGR2B/IL7R/C7/CD74/BTN3A2/HLA-B/C2/C4A/C4B/HLA-DRA/IL6/PIK3CG/SERPING1/C1S/C1R/CLEC7A/B2M/SCNN1B/PLCG2/C3/LILRB1/TLR8/SASH3",27
