"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05150","Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","18/130","94/8502",0.191489361702128,12.5234042553191,13.9987883507953,2.13648470534711e-15,4.63617181060322e-13,3.86816178231266e-13,"2214/9103/2215/2213/5648/717/629/720/721/3122/3118/3120/3109/3111/716/715/718/2359",18
"hsa04145","Cellular Processes","Transport and catabolism","hsa04145","Phagosome","17/130","152/8502",0.111842105263158,7.31447368421053,9.7883116475565,1.14410241747257e-10,1.24135112295774e-08,1.03571376739622e-08,"2214/9103/2215/2213/8685/10333/3106/3122/3118/3120/3109/3111/715/64581/718/30835/1536",17
"hsa04610","Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","13/130","86/8502",0.151162790697674,9.88604651162791,10.3204116120936,4.60110923872602e-10,3.32813568267848e-08,2.77680978617851e-08,"2153/5648/730/717/629/720/721/5328/710/716/715/5104/718",13
"hsa05322","Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","15/130","138/8502",0.108695652173913,7.10869565217391,9.01515283481935,2.2951000999902e-09,1.24509180424469e-07,1.03883478210083e-07,"2214/2215/942/730/717/720/721/3122/3118/3120/3109/3111/716/715/718",15
"hsa05152","Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","15/130","179/8502",0.0837988826815642,5.4804469273743,7.54918346307855,8.06729397150112e-08,3.50120558363148e-06,2.92120960652251e-06,"2214/9103/2215/2213/10333/972/3122/3118/3120/3109/3111/3569/64581/718/30835",15
"hsa05332","Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","8/130","39/8502",0.205128205128205,13.4153846153846,9.68327767105748,9.94539776625419e-08,3.59691885879526e-06,3.00106739613284e-06,"942/3106/3122/3118/3120/3109/3111/3569",8
"hsa05140","Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","10/130","76/8502",0.131578947368421,8.60526315789474,8.29855332993905,2.00282297121926e-07,6.2087512107797e-06,5.18023385037162e-06,"2214/9103/2215/3122/3118/3120/3109/3111/718/1536",10
"hsa05330","Human Diseases","Immune disease","hsa05330","Allograft rejection","7/130","37/8502",0.189189189189189,12.372972972973,8.63880084910921,1.16802965677815e-06,3.16828044401073e-05,2.64343553902423e-05,"942/3106/3122/3118/3120/3109/3111",7
"hsa05133","Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","9/130","76/8502",0.118421052631579,7.74473684210526,7.35958207080754,2.07612565843009e-06,5.00576964310367e-05,4.17653348830381e-05,"6374/717/720/721/3569/710/716/715/718",9
"hsa05171","Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","15/130","234/8502",0.0641025641025641,4.19230769230769,6.17027490362136,2.55064532015794e-06,5.53490034474273e-05,4.61801047439122e-05,"5648/3627/730/717/629/720/721/3569/716/715/5336/718/51284/51311/1536",15
