"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-166663","R-HSA-166663","Initial triggering of complement","8/159","22/11195",0.363636363636364,25.6032018296169,13.8644752841404,3.74836149748313e-10,1.89667091772646e-07,1.71240935779756e-07,"MASP1/C2/CFB/C4A/C4B/C1S/C1R/C3",8
"R-HSA-166658","R-HSA-166658","Complement cascade","10/159","57/11195",0.175438596491228,12.3524219353415,10.3135389427214,6.12045077157665e-09,1.54847404520889e-06,1.3980398078233e-06,"MASP1/C7/C2/CFB/C4A/C4B/SERPING1/C1S/C1R/C3",10
"R-HSA-977606","R-HSA-977606","Regulation of Complement cascade","9/159","46/11195",0.195652173913043,13.7756357670222,10.4214667500344,1.31747784582661e-08,2.22214596662755e-06,2.00626450908333e-06,"C7/C2/CFB/C4A/C4B/SERPING1/C1S/C1R/C3",9
"R-HSA-198933","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell","11/159","127/11195",0.0866141732283465,6.09840043579458,6.93564084213035,1.80841869035523e-06,0.000228764964329937,0.000206540450424782,"FCGR3A/FCGR2B/SELL/COL3A1/HLA-B/TREML1/JAML/KLRF1/B2M/C3/LILRB1",11
"R-HSA-373076","R-HSA-373076","Class A/1 (Rhodopsin-like receptors)","17/159","332/11195",0.0512048192771084,3.60527013715238,5.78405322960844,4.74181866054642e-06,0.000479872048447298,0.000433252483932031,"EDN2/LPAR3/CCR5/CXCL5/CXCL9/CXCL10/ANXA1/DRD4/APLNR/P2RY6/CMKLR1/GPR183/PTGER2/CCL3L3/C3/FPR3/LPAR4",17
"R-HSA-5669034","R-HSA-5669034","TNFs bind their physiological receptors","5/159","29/11195",0.172413793103448,12.1394491433529,7.20940245039455,4.89175777927559e-05,0.00412538239385575,0.00372460153720282,"TNFSF18/TNFRSF11B/TNFSF8/TNFSF14/EDA2R",5
"R-HSA-381426","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","9/159","125/11195",0.072,5.06943396226415,5.49162114872774,7.0342944776469e-05,0.00506936084367533,0.00457687249044122,"F5/PAPPA2/VCAN/C4A/C4B/IL6/TNC/IGF2/C3",9
"R-HSA-202433","R-HSA-202433","Generation of second messenger molecules","5/159","32/11195",0.15625,11.0013757861635,6.80032454471417,8.01479975284638e-05,0.00506936084367533,0.00457687249044122,"FYB1/HLA-DRA/HLA-DQA2/HLA-DQB2/PLCG2",5
"R-HSA-500792","R-HSA-500792","GPCR ligand binding","18/159","466/11195",0.0386266094420601,2.71965341323184,4.55134366109134,0.000107746429653589,0.0060577437116351,0.00546923397305936,"EDN2/LPAR3/CCR5/CXCL5/CXCL9/CXCL10/WNT2/ANXA1/DRD4/APLNR/P2RY6/CMKLR1/GPR183/PTGER2/CCL3L3/C3/FPR3/LPAR4",18
"R-HSA-877300","R-HSA-877300","Interferon gamma signaling","7/159","94/11195",0.074468085106383,5.24320888532049,4.95864086095167,0.000371529257667826,0.018799380437992,0.0169730208239828,"GBP3/HLA-B/HLA-DRA/HLA-DQA2/HLA-DQB2/TRIM6/B2M",7
"R-HSA-6783783","R-HSA-6783783","Interleukin-10 signaling","5/159","45/11195",0.111111111111111,7.82320055904962,5.50480992328331,0.000419111855575194,0.0192791453564589,0.0174061765856109,"CCR5/CD86/CXCL10/IL6/CCL3L3",5
"R-HSA-375276","R-HSA-375276","Peptide ligand-binding receptors","10/159","199/11195",0.050251256281407,3.53813090610284,4.33619253637765,0.000539737061548284,0.0227589127619526,0.0205478846238557,"EDN2/CCR5/CXCL5/CXCL9/CXCL10/ANXA1/APLNR/CCL3L3/C3/FPR3",10
"R-HSA-8957275","R-HSA-8957275","Post-translational protein phosphorylation","7/159","108/11195",0.0648148148148148,4.56353365944561,4.46653855147732,0.000857870108767906,0.0329669950855058,0.029764251855855,"F5/VCAN/C4A/C4B/IL6/TNC/C3",7
"R-HSA-166786","R-HSA-166786","Creation of C4 and C2 activators","3/159","14/11195",0.214285714285714,15.0876010781671,6.3306179781223,0.00091213029880846,0.0329669950855058,0.029764251855855,"MASP1/C1S/C1R",3
"R-HSA-380108","R-HSA-380108","Chemokine receptors bind chemokines","5/159","57/11195",0.087719298245614,6.17621096767075,4.7025254782523,0.00125285935052614,0.0422631220910817,0.0381572602195329,"CCR5/CXCL5/CXCL9/CXCL10/CCL3L3",5
"R-HSA-5668541","R-HSA-5668541","TNFR2 non-canonical NF-kB pathway","6/159","89/11195",0.0674157303370786,4.74666101335595,4.25937558836986,0.00164405640202927,0.04915643616451,0.0443808889024284,"TNFSF18/TNFRSF11B/TNFSF8/BIRC3/TNFSF14/EDA2R",6
"R-HSA-202430","R-HSA-202430","Translocation of ZAP-70 to Immunological synapse","3/159","17/11195",0.176470588235294,12.4250832408435,5.65831535744899,0.00165150081975626,0.04915643616451,0.0443808889024284,"HLA-DRA/HLA-DQA2/HLA-DQB2",3
