"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002443","GO:0002443","leukocyte mediated immunity","49/287","471/18604",0.104033970276008,6.74372119517374,15.8042627826251,1.23639713009188e-26,4.35088150079333e-23,3.27580165941186e-23,"FCGR1BP/FCGR1A/FCER1A/CD84/FCGR2A/FCGR3A/FCGR2C/FCGR3B/FCGR2B/MR1/PTPRC/IGKC/INPP5D/CX3CR1/CCR2/IL7R/C7/CD74/HAVCR2/BTN3A2/BTN3A3/HLA-B/C2/C4A/C4B/HLA-DRA/HLA-DRB1/TREM2/CALHM6/IL6/PIK3CG/SERPING1/C1S/C1R/CLEC7A/B2M/SPN/ITGAM/NOD2/PLCG2/CD300A/C3/VAV1/TYROBP/LILRB1/LILRB4/TLR8/BTK/SASH3",49
"GO:0070661","GO:0070661","leukocyte proliferation","42/287","344/18604",0.122093023255814,7.91435053885423,16.2026293301451,1.25214946404697e-25,2.20315698199065e-22,1.65876852684538e-22,"PLA2G2A/CSF1/FCGR3A/FCGR2B/PTPRC/INPP5D/CCR2/CD86/BST1/CD38/IL7R/GAPT/CSF1R/CD74/HAVCR2/DOCK2/LST1/AIF1/HLA-DRB1/HLA-DMB/HLA-DPA1/TREM2/IL6/GPNMB/PIK3CG/CDKN2A/ANXA1/TNFSF8/IGF2/GPR183/SPN/CD300A/TNFSF14/CD209/TYROBP/LILRB1/LILRB4/NFATC2/CSF2RA/VSIG4/BTK/SASH3",42
"GO:0002460","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","43/287","384/18604",0.111979166666667,7.25874709639954,15.5125822599061,1.07535604919444e-24,1.26139264570508e-21,9.4970918449909e-22,"FCGR1BP/FCGR1A/RORC/FCER1A/FCGR2A/FCGR3A/FCGR2C/FCGR3B/FCGR2B/MR1/PTPRC/IGKC/INPP5D/CCR2/IL7R/C7/CD74/HAVCR2/BTN3A2/BTN3A3/HLA-B/C2/C4A/C4B/HLA-DRA/HLA-DRB1/TREM2/IL6/ANXA1/SERPING1/C1S/C1R/CD69/CLEC7A/B2M/SPN/NOD2/C3/LILRB1/LILRB4/TLR8/BTK/SASH3",43
"GO:0032943","GO:0032943","mononuclear cell proliferation","39/287","308/18604",0.126623376623377,8.20801846237386,15.9668204466976,1.98081280625824e-24,1.74262006630569e-21,1.31202785088211e-21,"PLA2G2A/CSF1/FCGR3A/FCGR2B/PTPRC/INPP5D/CCR2/CD86/BST1/CD38/IL7R/GAPT/CD74/HAVCR2/DOCK2/LST1/AIF1/HLA-DRB1/HLA-DMB/HLA-DPA1/IL6/GPNMB/PIK3CG/CDKN2A/ANXA1/TNFSF8/IGF2/GPR183/SPN/CD300A/TNFSF14/CD209/TYROBP/LILRB1/LILRB4/NFATC2/VSIG4/BTK/SASH3",39
"GO:0046651","GO:0046651","lymphocyte proliferation","38/287","300/18604",0.126666666666667,8.21082462253194,15.7607843053765,7.967669236836e-24,5.60764560888518e-21,4.22202599349815e-21,"PLA2G2A/FCGR3A/FCGR2B/PTPRC/INPP5D/CCR2/CD86/BST1/CD38/IL7R/GAPT/CD74/HAVCR2/DOCK2/LST1/AIF1/HLA-DRB1/HLA-DMB/HLA-DPA1/IL6/GPNMB/PIK3CG/CDKN2A/ANXA1/TNFSF8/IGF2/GPR183/SPN/CD300A/TNFSF14/CD209/TYROBP/LILRB1/LILRB4/NFATC2/VSIG4/BTK/SASH3",38
"GO:0002449","GO:0002449","lymphocyte mediated immunity","41/287","372/18604",0.110215053763441,7.14439324116743,14.9843733480057,2.64674603160684e-23,1.55231654753741e-20,1.16874732658849e-20,"FCGR1BP/FCGR1A/FCER1A/FCGR2A/FCGR3A/FCGR2C/FCGR3B/FCGR2B/MR1/PTPRC/IGKC/INPP5D/CCR2/IL7R/C7/CD74/HAVCR2/BTN3A2/BTN3A3/HLA-B/C2/C4A/C4B/HLA-DRA/HLA-DRB1/TREM2/CALHM6/IL6/SERPING1/C1S/C1R/B2M/SPN/NOD2/C3/VAV1/LILRB1/LILRB4/TLR8/BTK/SASH3",41
"GO:0070663","GO:0070663","regulation of leukocyte proliferation","36/287","273/18604",0.131868131868132,8.54799555844852,15.7262490615137,3.23873420224164e-23,1.62815795109833e-20,1.22584871985597e-20,"PLA2G2A/CSF1/FCGR3A/FCGR2B/PTPRC/INPP5D/CCR2/CD86/BST1/CD38/CSF1R/CD74/HAVCR2/LST1/AIF1/HLA-DRB1/HLA-DMB/HLA-DPA1/IL6/GPNMB/CDKN2A/ANXA1/TNFSF8/IGF2/GPR183/SPN/CD300A/CD209/TYROBP/LILRB1/LILRB4/NFATC2/CSF2RA/VSIG4/BTK/SASH3",36
"GO:0032944","GO:0032944","regulation of mononuclear cell proliferation","34/287","248/18604",0.137096774193548,8.88692817803754,15.651283948136,1.57782512363423e-22,6.3170975652863e-20,4.75617611816324e-20,"PLA2G2A/CSF1/FCGR3A/FCGR2B/PTPRC/INPP5D/CCR2/CD86/BST1/CD38/CD74/HAVCR2/LST1/AIF1/HLA-DRB1/HLA-DMB/HLA-DPA1/IL6/GPNMB/CDKN2A/ANXA1/TNFSF8/IGF2/GPR183/SPN/CD300A/CD209/TYROBP/LILRB1/LILRB4/NFATC2/VSIG4/BTK/SASH3",34
"GO:0050867","GO:0050867","positive regulation of cell activation","41/287","390/18604",0.105128205128205,6.81465201465202,14.526421281818,1.61562597577655e-22,6.3170975652863e-20,4.75617611816324e-20,"FCGR3A/PTPRC/GLI2/INPP5D/CCR2/CD86/BST1/CD38/TLR6/IL7R/CD74/HAVCR2/AIF1/HLA-DRA/HLA-DRB1/HLA-DQA1/HLA-DQA2/HLA-DQB2/HLA-DMB/HLA-DMA/HLA-DOA/HLA-DPA1/TREM2/IL6/ANXA1/IGF2/CLEC7A/GPR183/B2M/SPN/NOD2/TNFSF14/VAV1/CD209/TYROBP/LILRA2/LILRB1/LILRB4/NFATC2/BTK/SASH3",41
"GO:0002696","GO:0002696","positive regulation of leukocyte activation","40/287","370/18604",0.108108108108108,7.00781617854789,14.611062267033,1.95349096751899e-22,6.87433471469932e-20,5.17572291078452e-20,"FCGR3A/PTPRC/GLI2/INPP5D/CCR2/CD86/BST1/CD38/TLR6/IL7R/CD74/HAVCR2/AIF1/HLA-DRA/HLA-DRB1/HLA-DQA1/HLA-DQA2/HLA-DQB2/HLA-DMB/HLA-DMA/HLA-DOA/HLA-DPA1/TREM2/IL6/ANXA1/IGF2/CLEC7A/GPR183/B2M/SPN/NOD2/TNFSF14/VAV1/CD209/TYROBP/LILRB1/LILRB4/NFATC2/BTK/SASH3",40
