"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05150","Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","27/178","94/8502",0.287234042553192,13.7194597179058,18.1328142625499,5.14636800317249e-24,1.20425011274236e-21,9.5884961743319e-22,"2209/2212/2214/9103/2215/2213/717/629/720/721/3122/3123/3117/3118/3120/3109/3108/3111/3113/716/715/719/6404/3684/718/2357/2359",27
"hsa04145","Cellular Processes","Transport and catabolism","hsa04145","Phagosome","25/178","152/8502",0.164473684210526,7.85592844470727,12.4716468827417,5.58431667255937e-16,6.53365050689446e-14,5.20223184759478e-14,"2209/2212/2214/9103/2215/2213/4688/8685/10333/3106/3122/3123/3117/3118/3120/3109/3108/3111/3113/715/64581/3684/718/30835/1536",25
"hsa05140","Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","18/178","76/8502",0.236842105263158,11.3125369603785,13.20506551695,1.09864410907805e-14,8.56942405080877e-13,6.82315815111629e-13,"2209/2212/2214/9103/2215/4688/3122/3123/3117/3118/3120/3109/3108/3111/3113/3684/718/1536",18
"hsa05152","Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","25/178","179/8502",0.139664804469274,6.67095599774026,11.2129999225984,2.87221143076354e-14,1.68024368699667e-12,1.33784585064512e-12,"2209/2212/2214/9103/2215/2213/10333/972/3122/3123/3117/3118/3120/3109/3108/3111/3113/3569/3587/64581/3684/3687/64127/718/30835",25
"hsa04640","Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","19/178","98/8502",0.193877551020408,9.26037606053657,12.0267645512752,9.83999467553687e-14,4.60511750815126e-12,3.666692752779e-12,"1441/1435/2209/952/3575/1436/3122/3123/3117/3118/3120/3109/3108/3111/3113/3569/3684/945/1438",19
"hsa05322","Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","21/178","138/8502",0.152173913043478,7.26844162188569,10.8560313854828,6.90879854936514e-13,2.6944314342524e-11,2.14536376006602e-11,"2209/2212/2214/2215/942/730/717/720/721/3122/3123/3117/3118/3120/3109/3108/3111/3113/716/715/718",21
"hsa04610","Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","17/178","86/8502",0.197674418604651,9.44172981447609,11.5055340949532,1.50218916304505e-12,5.02160377360774e-11,3.99830799787931e-11,"2153/730/717/629/720/721/5328/710/716/715/719/5265/5104/3684/3687/718/11326",17
"hsa04380","Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","20/178","134/8502",0.149253731343284,7.12896193191346,10.4570084936742,3.66802173499385e-12,1.0728963574857e-10,8.54262956702515e-11,"1435/2209/2212/2214/9103/2215/2213/4688/1436/54209/4982/29760/5336/7305/11027/11024/10859/11006/4773/695",20
"hsa05332","Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","12/178","39/8502",0.307692307692308,14.6966292134831,12.5361103250972,1.17017314935336e-11,3.04245018831874e-10,2.42246371269643e-10,"942/3106/3122/3123/3117/3118/3120/3109/3108/3111/3113/3569",12
"hsa05330","Human Diseases","Immune disease","hsa05330","Allograft rejection","11/178","37/8502",0.297297297297297,14.2001214697844,11.7664182546191,1.32548545221435e-10,3.10163595818158e-09,2.469588684652e-09,"942/3106/3122/3123/3117/3118/3120/3109/3108/3111/3113",11
