"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-198933","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell","19/224","127/11195",0.149606299212598,7.47697553430821,10.4889760737374,6.82914169265846e-12,4.19309299929229e-09,3.62303938221038e-09,"FCGR1A/FCGR3A/FCGR2B/SELL/HLA-B/TREML1/TREM2/JAML/B2M/CD300A/C3/TYROBP/SIGLEC9/CD33/LAIR1/LILRA2/LILRA1/LILRB1/LILRB4",19
"R-HSA-6798695","R-HSA-6798695","Neutrophil degranulation","32/224","476/11195",0.0672268907563025,3.35984393757503,7.51801480729577,1.42908625138891e-09,4.38729479176396e-07,3.79083931947374e-07,"SLC2A5/CD53/FCGR2A/FCGR3B/SELL/PTPRC/LTF/ACP3/PTX3/BST1/DOCK2/HLA-B/FGL2/ALOX5/PLAU/C3AR1/CLEC12A/BIN2/LYZ/SERPINA1/B2M/ITGAM/ITGAX/CD300A/TTR/C3/TYROBP/SIGLEC9/CD33/FPR1/LAIR1/CYBB",32
"R-HSA-449147","R-HSA-449147","Signaling by Interleukins","31/224","458/11195",0.0676855895196507,3.38276863693076,7.43989301468571,2.25632802393619e-09,4.61795135565607e-07,3.99013797917137e-07,"IL22RA1/CSF3R/CSF1/RORC/PTPN7/INPP5D/CCR1/CCR2/CCR5/CD86/CXCL10/IL7R/CSF1R/HAVCR2/IL6/ANXA1/ALOX5/BLNK/CCND1/CASP1/IL10RA/LCP1/ITGAM/ITGAX/NOD2/VAV1/FPR1/HCK/S100B/USP18/CSF2RA",31
"R-HSA-977606","R-HSA-977606","Regulation of Complement cascade","10/224","46/11195",0.217391304347826,10.8647127329193,9.57941424255544,1.82708883128822e-08,2.80458135602741e-06,2.42329676570858e-06,"C7/C2/CFB/C4A/C4B/SERPING1/C1S/C1R/C3AR1/C3",10
"R-HSA-877300","R-HSA-877300","Interferon gamma signaling","13/224","94/11195",0.138297872340426,6.91180661094225,8.22425650921296,4.18998523731842e-08,5.14530187142702e-06,4.44579486233365e-06,"GBP3/FCGR1A/HLA-B/HLA-DRA/HLA-DRB1/HLA-DQA1/HLA-DQA2/HLA-DQB2/HLA-DPA1/TRIM6/TRIM34/TRIM22/B2M",13
"R-HSA-202427","R-HSA-202427","Phosphorylation of CD3 and TCR zeta chains","7/224","20/11195",0.35,17.4921875,10.5478282242463,7.26369709942259e-08,7.43318336507578e-06,6.42263743527892e-06,"PTPRC/HLA-DRA/HLA-DRB1/HLA-DQA1/HLA-DQA2/HLA-DQB2/HLA-DPA1",7
"R-HSA-166663","R-HSA-166663","Initial triggering of complement","7/224","22/11195",0.318181818181818,15.9019886363636,9.99687408096346,1.54437725803715e-07,1.0893348131849e-05,9.41239063681107e-06,"C2/CFB/C4A/C4B/C1S/C1R/C3",7
"R-HSA-202433","R-HSA-202433","Generation of second messenger molecules","8/224","32/11195",0.25,12.4944196428571,9.30390202075651,1.57680610429453e-07,1.0893348131849e-05,9.41239063681107e-06,"FYB1/HLA-DRA/HLA-DRB1/HLA-DQA1/HLA-DQA2/HLA-DQB2/HLA-DPA1/PLCG2",8
"R-HSA-166658","R-HSA-166658","Complement cascade","10/224","57/11195",0.175438596491228,8.76801378446115,8.40112335455552,1.59674484017331e-07,1.0893348131849e-05,9.41239063681107e-06,"C7/C2/CFB/C4A/C4B/SERPING1/C1S/C1R/C3AR1/C3",10
"R-HSA-6783783","R-HSA-6783783","Interleukin-10 signaling","9/224","45/11195",0.2,9.99553571428571,8.63951590049738,2.07445383004971e-07,1.27371465165052e-05,1.10055234773163e-05,"CSF1/CCR1/CCR2/CCR5/CD86/CXCL10/IL6/IL10RA/FPR1",9
"R-HSA-418594","R-HSA-418594","G alpha (i) signalling events","22/224","317/11195",0.0694006309148265,3.46848242451555,6.37057592750626,3.7256211201702e-07,2.07957397071318e-05,1.79685458810122e-05,"LPAR3/ADORA3/RGS1/CXCR4/CX3CR1/CCR1/CCR2/CCR5/CXCL9/CXCL10/ANXA1/DRD4/APLNR/C3AR1/GPR183/PLCB2/GNA15/C3/PDE4C/FPR1/FPR3/MCHR1",22
"R-HSA-202430","R-HSA-202430","Translocation of ZAP-70 to Immunological synapse","6/224","17/11195",0.352941176470588,17.6391806722689,9.8099749503527,6.17791784040255e-07,3.1610346283393e-05,2.73128999259902e-05,"HLA-DRA/HLA-DRB1/HLA-DQA1/HLA-DQA2/HLA-DQB2/HLA-DPA1",6
"R-HSA-373076","R-HSA-373076","Class A/1 (Rhodopsin-like receptors)","22/224","332/11195",0.0662650602409639,3.31177388123924,6.1098853047511,8.1802920365743e-07,3.8636148541974e-05,3.3383539971121e-05,"LPAR3/ADORA3/CXCR4/CX3CR1/CCR1/CCR2/CCR5/CXCL9/CXCL10/ANXA1/DRD4/APLNR/P2RY6/C3AR1/CMKLR1/GPR183/GPR65/C3/FPR1/FPR3/MCHR1/LPAR4",22
"R-HSA-389948","R-HSA-389948","Co-inhibition by PD-1","6/224","21/11195",0.285714285714286,14.2793367346939,8.70312558879536,2.53292352303422e-06,0.000111086788795929,9.59844703465599e-05,"HLA-DRA/HLA-DRB1/HLA-DQA1/HLA-DQA2/HLA-DQB2/HLA-DPA1",6
"R-HSA-381426","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","12/224","125/11195",0.096,4.79785714285714,6.10117347693067,7.38284748424753e-06,0.000302204557021865,0.000261119658390228,"CSF1/F5/PAPPA2/LTBP1/VCAN/C4A/C4B/IL6/TNC/IGF2/SERPINA1/C3",12
"R-HSA-388841","R-HSA-388841","Regulation of T cell activation by CD28 family","9/224","72/11195",0.125,6.24720982142857,6.38230071953813,1.24706282735254e-05,0.000478560359996538,0.000413499779595843,"CD86/HLA-DRA/HLA-DRB1/HLA-DQA1/HLA-DQA2/HLA-DQB2/HLA-DPA1/PIK3CG/VAV1",9
"R-HSA-202403","R-HSA-202403","TCR signaling","10/224","101/11195",0.099009900990099,4.94828500707214,5.69532686060756,3.29684750946435e-05,0.00119074374753595,0.00102886138995049,"PTPRC/INPP5D/FYB1/HLA-DRA/HLA-DRB1/HLA-DQA1/HLA-DQA2/HLA-DQB2/HLA-DPA1/PLCG2",10
"R-HSA-375276","R-HSA-375276","Peptide ligand-binding receptors","14/224","199/11195",0.0703517587939698,3.5160175879397,5.11701156132189,4.58230721963216e-05,0.00156307590714119,0.00135057475947053,"CXCR4/CX3CR1/CCR1/CCR2/CCR5/CXCL9/CXCL10/ANXA1/APLNR/C3AR1/C3/FPR1/FPR3/MCHR1",14
"R-HSA-500792","R-HSA-500792","GPCR ligand binding","23/224","466/11195",0.0493562231759657,2.46670945738811,4.62115973882323,5.88225301626351e-05,0.00180600032417646,0.00156047344999989,"LPAR3/ADORA3/CXCR4/CX3CR1/CCR1/CCR2/CCR5/CXCL9/CXCL10/WNT2/ANXA1/DRD4/APLNR/P2RY6/C3AR1/CMKLR1/GPR183/GPR65/C3/FPR1/FPR3/MCHR1/LPAR4",23
"R-HSA-8957275","R-HSA-8957275","Post-translational protein phosphorylation","10/224","108/11195",0.0925925925925926,4.62756283068783,5.41269243877597,5.88273721230118e-05,0.00180600032417646,0.00156047344999989,"CSF1/F5/LTBP1/VCAN/C4A/C4B/IL6/TNC/SERPINA1/C3",10
"R-HSA-2029481","R-HSA-2029481","FCGR activation","4/224","12/11195",0.333333333333333,16.6592261904762,7.7548840885369,6.80895539487152e-05,0.00199080886307196,0.00172015715238859,"FCGR1A/FCGR2A/FCGR3A/HCK",4
"R-HSA-9658195","R-HSA-9658195","Leishmania infection","12/224","163/11195",0.0736196319018405,3.67933829973707,4.92365688568889,0.000104334219797989,0.00278527004156371,0.00240661083653028,"FCGR1A/FCGR2A/FCGR3A/IL6/CASP1/C3AR1/DPEP2/PLCG2/C3/VAV1/HCK/BTK",12
"R-HSA-9824443","R-HSA-9824443","Parasitic Infection Pathways","12/224","163/11195",0.0736196319018405,3.67933829973707,4.92365688568889,0.000104334219797989,0.00278527004156371,0.00240661083653028,"FCGR1A/FCGR2A/FCGR3A/IL6/CASP1/C3AR1/DPEP2/PLCG2/C3/VAV1/HCK/BTK",12
"R-HSA-380108","R-HSA-380108","Chemokine receptors bind chemokines","7/224","57/11195",0.12280701754386,6.13760964912281,5.55633571302029,0.000132051801894722,0.00337832526513997,0.00291903983135701,"CXCR4/CX3CR1/CCR1/CCR2/CCR5/CXCL9/CXCL10",7
"R-HSA-2172127","R-HSA-2172127","DAP12 interactions","6/224","41/11195",0.146341463414634,7.31380662020906,5.78710600175259,0.000150227210041464,0.00368958027861836,0.00318797953098518,"HLA-B/TREM2/B2M/PLCG2/TYROBP/BTK",6
"R-HSA-2132295","R-HSA-2132295","MHC class II antigen presentation","10/224","122/11195",0.0819672131147541,4.09653103044496,4.91378618247717,0.000164155740244362,0.00387660094269378,0.00334957461875136,"CD74/HLA-DRA/HLA-DRB1/HLA-DQA1/HLA-DQA2/HLA-DQB2/HLA-DMB/HLA-DMA/HLA-DOA/HLA-DPA1",10
"R-HSA-168898","R-HSA-168898","Toll-like Receptor Cascades","12/224","172/11195",0.0697674418604651,3.48681478405316,4.69625113728982,0.000173648442654264,0.00394889421443401,0.00341203957496099,"TLR6/LY86/BIRC3/ITGAM/NOD2/PLCG2/S100B/USP18/TLR7/TLR8/TASL/BTK",12
"R-HSA-2424491","R-HSA-2424491","DAP12 signaling","5/224","30/11195",0.166666666666667,8.3296130952381,5.74388672923603,0.000290518844247473,0.00637066322742672,0.00550456757521527,"TREM2/B2M/PLCG2/TYROBP/BTK",5
"R-HSA-2871809","R-HSA-2871809","FCERI mediated Ca+2 mobilization","5/224","31/11195",0.161290322580645,8.06091589861751,5.62503882861818,0.000340797687997891,0.0069749926810235,0.00602673806143639,"FCER1A/PLCG2/VAV1/NFATC2/BTK",5
"R-HSA-9680350","R-HSA-9680350","Signaling by CSF1 (M-CSF) in myeloid cells","5/224","31/11195",0.161290322580645,8.06091589861751,5.62503882861818,0.000340797687997891,0.0069749926810235,0.00602673806143639,"CSF1/INPP5D/CSF1R/PLCG2/HCK",5
"R-HSA-983695","R-HSA-983695","Antigen activates B Cell Receptor (BCR) leading to generation of second messengers","5/224","32/11195",0.15625,7.80901227678571,5.51140336351907,0.000397392829425688,0.00787094184733459,0.00680088237794725,"DAPP1/BLNK/PLCG2/VAV1/BTK",5
"R-HSA-202733","R-HSA-202733","Cell surface interactions at the vascular wall","10/224","137/11195",0.072992700729927,3.64800573514077,4.45589004062533,0.000421012422684347,0.0080781758602559,0.00697994279713522,"CD84/CD48/SELL/INPP5D/CD74/JAML/SELPLG/SPN/ITGAM/ITGAX",10
"R-HSA-1236975","R-HSA-1236975","Antigen processing-Cross presentation","8/224","97/11195",0.0824742268041237,4.12187039764359,4.41237006446286,0.00071040020208131,0.0132177492144826,0.0114207879377665,"FCGR1A/NCF2/TLR6/HLA-B/PSMB9/B2M/CYBB/BTK",8
"R-HSA-8853884","R-HSA-8853884","Transcriptional Regulation by VENTX","5/224","38/11195",0.131578947368421,6.57601033834586,4.91966130824367,0.000898579607734559,0.0157868169858984,0.0136405893380641,"CSF1R/IL6/CDKN2A/VENTX/CCND1",5
"R-HSA-9662851","R-HSA-9662851","Anti-inflammatory response favouring Leishmania parasite infection","7/224","78/11195",0.0897435897435897,4.48517628205128,4.41338486437567,0.000925611419368637,0.0157868169858984,0.0136405893380641,"FCGR1A/FCGR2A/FCGR3A/IL6/DPEP2/PLCG2/HCK",7
"R-HSA-9664433","R-HSA-9664433","Leishmania parasite growth and survival","7/224","78/11195",0.0897435897435897,4.48517628205128,4.41338486437567,0.000925611419368637,0.0157868169858984,0.0136405893380641,"FCGR1A/FCGR2A/FCGR3A/IL6/DPEP2/PLCG2/HCK",7
"R-HSA-202424","R-HSA-202424","Downstream TCR signaling","7/224","79/11195",0.0886075949367089,4.42840189873418,4.36942768899512,0.000998646142002839,0.0165721278699931,0.0143191367160578,"INPP5D/HLA-DRA/HLA-DRB1/HLA-DQA1/HLA-DQA2/HLA-DQB2/HLA-DPA1",7
"R-HSA-9664323","R-HSA-9664323","FCGR3A-mediated IL10 synthesis","5/224","40/11195",0.125,6.24720982142857,4.75025793468065,0.00114039998862602,0.0184264629741151,0.0159213738024242,"FCGR1A/FCGR2A/FCGR3A/PLCG2/HCK",5
"R-HSA-913531","R-HSA-913531","Interferon Signaling","14/224","274/11195",0.0510948905109489,2.55360401459854,3.72030002886345,0.00122727055245069,0.0193216440821725,0.0166948544786815,"GBP3/FCGR1A/HLA-B/HLA-DRA/HLA-DRB1/HLA-DQA1/HLA-DQA2/HLA-DQB2/HLA-DPA1/TRIM6/TRIM34/TRIM22/B2M/USP18",14
"R-HSA-2029485","R-HSA-2029485","Role of phospholipids in phagocytosis","4/224","25/11195",0.16,7.99642857142857,5.00395476813535,0.0014185290156028,0.021774420389503,0.0188141743122056,"FCGR1A/FCGR2A/FCGR3A/PLCG2",4
"R-HSA-8851680","R-HSA-8851680","Butyrophilin (BTN) family interactions","3/224","12/11195",0.25,12.4944196428571,5.69235611716061,0.00152150944696918,0.0227855317180263,0.0196878244229132,"BTN3A2/BTN3A3/CD209",3
"R-HSA-2029480","R-HSA-2029480","Fcgamma receptor (FCGR) dependent phagocytosis","7/224","86/11195",0.0813953488372093,4.06795058139535,4.08087840748972,0.00164554001267771,0.0240562278043837,0.0207857685811922,"FCGR1A/FCGR2A/FCGR3A/PLCG2/VAV1/HCK/BTK",7
"R-HSA-512988","R-HSA-512988","Interleukin-3, Interleukin-5 and GM-CSF signaling","5/224","47/11195",0.106382978723404,5.31677431610942,4.23743789291476,0.00237393936045125,0.0338976457515597,0.0292892396001818,"INPP5D/BLNK/VAV1/HCK/CSF2RA",5
"R-HSA-5669034","R-HSA-5669034","TNFs bind their physiological receptors","4/224","29/11195",0.137931034482759,6.89347290640394,4.54061867945569,0.00250194998853669,0.0349135748400347,0.030167052493361,"TNFRSF11B/TNFSF8/TNFSF14/EDA2R",4
"R-HSA-166016","R-HSA-166016","Toll Like Receptor 4 (TLR4) Cascade","9/224","147/11195",0.0612244897959184,3.05985787172012,3.59209358632479,0.002769924176313,0.0377940765390262,0.0326559481839006,"TLR6/LY86/BIRC3/ITGAM/NOD2/PLCG2/S100B/USP18/BTK",9
"R-HSA-418038","R-HSA-418038","Nucleotide-like (purinergic) receptors","3/224","16/11195",0.1875,9.37081473214286,4.78762136250719,0.00365073780833022,0.0487294133546686,0.042104619116669,"ADORA3/P2RY6/LPAR4",3
