"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1904948","BP","GO:1904948","midbrain dopaminergic neuron differentiation","5/100","16/18355",0.3125,57.359375,16.6921692447965,1.80719383297169e-08,3.67583225626441e-05,3.17305190883871e-05,"NR4A2/SFRP2/SFRP1/DKK1/WNT9B",5
"GO:0071542","BP","GO:0071542","dopaminergic neuron differentiation","6/100","41/18355",0.146341463414634,26.8609756097561,12.2692968222977,8.6592346555334e-08,8.80644164467747e-05,7.60189652917354e-05,"NR4A2/SFRP2/SFRP1/DKK1/PITX3/WNT9B",6
"GO:0001503","BP","GO:0001503","ossification","13/100","458/18355",0.0283842794759825,5.20993449781659,6.7529324227578,1.21207299530947e-06,0.000821785490819818,0.000709381668833751,"DMP1/IBSP/SFRP2/SFRP1/CCN3/ASPN/TNC/DKK1/MMP13/SP7/COMP/CEBPA/CYP24A1",13
"GO:0031214","BP","GO:0031214","biomineral tissue development","8/100","182/18355",0.043956043956044,8.06813186813187,7.09253469860532,6.85296492102219e-06,0.00348473266233978,0.00300809091796448,"ODAM/AMTN/DMP1/IBSP/ASPN/MMP13/SP7/COMP",8
"GO:0030901","BP","GO:0030901","midbrain development","6/100","93/18355",0.0645161290322581,11.841935483871,7.7579784471832,1.1684564090608e-05,0.00413896398029816,0.00357283647422105,"NR4A2/SFRP2/SFRP1/DKK1/PITX3/WNT9B",6
"GO:0030198","BP","GO:0030198","extracellular matrix organization","10/100","339/18355",0.0294985250737463,5.41445427728614,6.07186532865118,1.60686997766863e-05,0.00413896398029816,0.00357283647422105,"DMP1/IBSP/SFRP2/ADAMTS16/COL12A1/MMP7/MMP13/LUM/COMP/MMP11",10
"GO:0043062","BP","GO:0043062","extracellular structure organization","10/100","340/18355",0.0294117647058824,5.39852941176471,6.05904629305511,1.64816141886075e-05,0.00413896398029816,0.00357283647422105,"DMP1/IBSP/SFRP2/ADAMTS16/COL12A1/MMP7/MMP13/LUM/COMP/MMP11",10
"GO:0045229","BP","GO:0045229","external encapsulating structure organization","10/100","341/18355",0.0293255131964809,5.38269794721408,6.04627777891848,1.69036369379367e-05,0.00413896398029816,0.00357283647422105,"DMP1/IBSP/SFRP2/ADAMTS16/COL12A1/MMP7/MMP13/LUM/COMP/MMP11",10
"GO:1904338","BP","GO:1904338","regulation of dopaminergic neuron differentiation","3/100","10/18355",0.3,55.065,12.6570295582833,1.83139999128237e-05,0.00413896398029816,0.00357283647422105,"SFRP2/SFRP1/DKK1",3
"GO:0030199","BP","GO:0030199","collagen fibril organization","5/100","69/18355",0.072463768115942,13.3007246376812,7.57652968672979,3.70004793249158e-05,0.00705285304232076,0.00608816378129225,"SFRP2/COL12A1/LUM/COMP/MMP11",5
