"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045907","BP","GO:0045907","positive regulation of vasoconstriction","8/238","33/18355",0.242424242424242,18.6962057550293,11.6616872428909,7.4575647019369e-09,2.2805232858523e-05,1.99077727201179e-05,"OXTR/FGB/FGA/FGG/F2R/ADRA1A/HTR2A/ADRA1D",8
"GO:0042310","BP","GO:0042310","vasoconstriction","10/238","89/18355",0.112359550561798,8.6653762628647,8.30840109349345,2.3081499061918e-07,0.00026161990011277,0.000228380457363253,"OXTR/FGB/FGA/FGG/F2R/ADRA1A/SVEP1/HTR2A/COMP/ADRA1D",10
"GO:0019229","BP","GO:0019229","regulation of vasoconstriction","9/238","69/18355",0.130434782608696,10.0593715747168,8.64119808120556,2.56657848377472e-07,0.00026161990011277,0.000228380457363253,"OXTR/FGB/FGA/FGG/F2R/ADRA1A/SVEP1/HTR2A/ADRA1D",9
"GO:0035150","BP","GO:0035150","regulation of tube size","12/238","156/18355",0.0769230769230769,5.93244990303814,7.09107240265484,9.28162158135654e-07,0.000709579969894708,0.000619426113955795,"OXTR/FGB/FGA/FGG/F2R/ADRA1A/ADRB3/SVEP1/HTR2A/WNT9B/COMP/ADRA1D",12
"GO:0030198","BP","GO:0030198","extracellular matrix organization","17/238","339/18355",0.0501474926253687,3.86746734091867,6.10773017569002,2.23231002928279e-06,0.000923891934175943,0.000806509223458811,"COL9A2/COL11A1/COLGALT2/FAP/IBSP/SFRP2/ADAMTS16/COL12A1/CTSV/MMP1/MMP13/LUM/GREM1/GFAP/COMP/KLK4/CHADL",17
"GO:0043062","BP","GO:0043062","extracellular structure organization","17/238","340/18355",0.05,3.85609243697479,6.0926367329231,2.32299139414388e-06,0.000923891934175943,0.000806509223458811,"COL9A2/COL11A1/COLGALT2/FAP/IBSP/SFRP2/ADAMTS16/COL12A1/CTSV/MMP1/MMP13/LUM/GREM1/GFAP/COMP/KLK4/CHADL",17
"GO:0001503","BP","GO:0001503","ossification","20/238","458/18355",0.0436681222707424,3.367766320502,5.88155494875358,2.37901886058596e-06,0.000923891934175943,0.000806509223458811,"ISG15/COL11A1/SOX11/IBSP/SPP1/SFRP2/SFRP1/CCN3/ASPN/TNC/BAMBI/DKK1/IGF2/MMP13/SP7/GREM1/FASN/COMP/CEBPA/CYP24A1",20
"GO:0045229","BP","GO:0045229","external encapsulating structure organization","17/238","341/18355",0.0498533724340176,3.84478424801005,6.07760044065971,2.41698347724249e-06,0.000923891934175943,0.000806509223458811,"COL9A2/COL11A1/COLGALT2/FAP/IBSP/SFRP2/ADAMTS16/COL12A1/CTSV/MMP1/MMP13/LUM/GREM1/GFAP/COMP/KLK4/CHADL",17
"GO:0030199","BP","GO:0030199","collagen fibril organization","8/238","69/18355",0.115942028985507,8.94166362197053,7.57508265178942,3.00537246651859e-06,0.0010211587780682,0.000891418078958027,"COL11A1/COLGALT2/SFRP2/COL12A1/LUM/GREM1/COMP/CHADL",8
"GO:0035296","BP","GO:0035296","regulation of tube diameter","11/238","155/18355",0.0709677419354839,5.47316345893196,6.4099644905107,5.80374217208128e-06,0.0016134403238386,0.00140844881802853,"OXTR/FGB/FGA/FGG/F2R/ADRA1A/ADRB3/SVEP1/HTR2A/COMP/ADRA1D",11
"GO:0097746","BP","GO:0097746","blood vessel diameter maintenance","11/238","155/18355",0.0709677419354839,5.47316345893196,6.4099644905107,5.80374217208128e-06,0.0016134403238386,0.00140844881802853,"OXTR/FGB/FGA/FGG/F2R/ADRA1A/ADRB3/SVEP1/HTR2A/COMP/ADRA1D",11
"GO:1903522","BP","GO:1903522","regulation of blood circulation","14/238","269/18355",0.0520446096654275,4.0137765143232,5.70724637589416,1.1767167165725e-05,0.0028537886910242,0.00249120791726184,"DES/OXTR/SCN5A/CORIN/FGB/FGA/FGG/F2R/KCNN2/ADRA1A/SVEP1/HTR2A/DSG2/ADRA1D",14
"GO:2000027","BP","GO:2000027","regulation of animal organ morphogenesis","8/238","83/18355",0.0963855421686747,7.43343120380682,6.73285659063695,1.2131868209063e-05,0.0028537886910242,0.00249120791726184,"SFRP2/FGF1/SFRP1/DKK1/GREM1/HOXB7/NGFR/GATA5",8
"GO:0001508","BP","GO:0001508","action potential","11/238","177/18355",0.0621468926553672,4.79288325499691,5.81157382423644,2.03928725108752e-05,0.00445438600987546,0.00388844546523154,"GPR88/KCNK2/CHRNA1/SCN5A/KCNN2/GRIA1/NRCAM/ADRA1A/KCNQ3/DSG2/NDP",11
"GO:0031214","BP","GO:0031214","biomineral tissue development","11/238","182/18355",0.0604395604395604,4.66121063810139,5.68928639387582,2.6413327482446e-05,0.00538479702942133,0.00470064550845496,"ISG15/ODAM/AMTN/IBSP/SPP1/ASPN/MMP13/SP7/GREM1/COMP/KLK4",11
"GO:1902041","BP","GO:1902041","regulation of extrinsic apoptotic signaling pathway via death domain receptors","6/238","49/18355",0.122448979591837,9.44349168238724,6.78319170151581,3.91423798850183e-05,0.00676691609027847,0.00590716299092844,"SFRP2/FGB/FGA/FGG/SFRP1/HMOX1",6
"GO:0001649","BP","GO:0001649","osteoblast differentiation","13/238","262/18355",0.049618320610687,3.82665661684521,5.28176540386617,3.97748705262121e-05,0.00676691609027847,0.00590716299092844,"SOX11/IBSP/SPP1/SFRP2/SFRP1/TNC/BAMBI/IGF2/SP7/GREM1/FASN/CEBPA/CYP24A1",13
"GO:0072378","BP","GO:0072378","blood coagulation, fibrin clot formation","4/238","16/18355",0.25,19.280462184874,8.38436232719144,4.43791715794589e-05,0.00676691609027847,0.00590716299092844,"FGB/FGA/FGG/F13A1",4
"GO:1904948","BP","GO:1904948","midbrain dopaminergic neuron differentiation","4/238","16/18355",0.25,19.280462184874,8.38436232719144,4.43791715794589e-05,0.00676691609027847,0.00590716299092844,"SFRP2/SFRP1/DKK1/WNT9B",4
"GO:0050878","BP","GO:0050878","regulation of body fluid levels","16/238","386/18355",0.0414507772020725,3.19676056951278,4.99948330763058,4.67140502388488e-05,0.00676691609027847,0.00590716299092844,"FAP/OXTR/FGB/FGA/FGG/NPR3/F2R/F13A1/SVEP1/ANGPTL2/SCT/HTR2A/AQP4/F2RL3/COMP/CD40LG",16
"GO:0046850","BP","GO:0046850","regulation of bone remodeling","6/238","51/18355",0.117647058823529,9.0731586752348,6.61707828983883,4.93329367981911e-05,0.00676691609027847,0.00590716299092844,"LEPR/SPP1/SFRP1/DCSTAMP/GREM1/HAMP",6
"GO:0034109","BP","GO:0034109","homotypic cell-cell adhesion","8/238","101/18355",0.0792079207920792,6.1086612862967,5.90064480907782,5.0895706369001e-05,0.00676691609027847,0.00590716299092844,"FGB/FGA/FGG/MEGF10/HTR2A/DSG2/F2RL3/COMP",8
"GO:0120162","BP","GO:0120162","positive regulation of cold-induced thermogenesis","8/238","101/18355",0.0792079207920792,6.1086612862967,5.90064480907782,5.0895706369001e-05,0.00676691609027847,0.00590716299092844,"LEPR/OXTR/EBF2/ADRB3/SCD/ELOVL3/SLN/TSHR",8
"GO:1902042","BP","GO:1902042","negative regulation of extrinsic apoptotic signaling pathway via death domain receptors","5/238","32/18355",0.15625,12.0502888655462,7.17069135028783,5.31726967572691e-05,0.0067750877784887,0.00591429644633484,"SFRP2/FGB/FGA/FGG/HMOX1",5
"GO:0003018","BP","GO:0003018","vascular process in circulatory system","13/238","277/18355",0.0469314079422383,3.61943694445287,5.03481296712579,7.02987376318708e-05,0.00852820335517109,0.0074446744376145,"LEPR/OXTR/FGB/FGA/FGG/SLC1A3/F2R/ADRA1A/ADRB3/SVEP1/HTR2A/COMP/ADRA1D",13
"GO:1990845","BP","GO:1990845","adaptive thermogenesis","10/238","169/18355",0.0591715976331361,4.56342300233703,5.33399787177963,7.34666864470525e-05,0.00852820335517109,0.0074446744376145,"LEPR/OXTR/NPR3/EBF2/ADRB3/SCD/ELOVL3/SCT/SLN/TSHR",10
"GO:0007596","BP","GO:0007596","blood coagulation","12/238","241/18355",0.0497925311203319,3.84009205341888,5.08679758363891,7.62080487160842e-05,0.00852820335517109,0.0074446744376145,"FAP/FGB/FGA/FGG/F2R/F13A1/SVEP1/ANGPTL2/HTR2A/F2RL3/COMP/CD40LG",12
