"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-1474244","R-HSA-1474244","Extracellular matrix organization","22/170","321/11164",0.0685358255451713,4.5007879787429,7.91371950612049,3.2179885206999e-09,1.82459949123685e-06,1.66996667442637e-06,"COL9A2/COL11A1/COLGALT2/CAPN13/IBSP/SPP1/COL25A1/FGB/FGA/FGG/ADAMTS16/COL12A1/ASPN/CTSV/TNC/MMP1/MMP13/NCAM1/LUM/ACTC1/COMP/NCAN",22
"R-HSA-216083","R-HSA-216083","Integrin cell surface interactions","9/170","85/11164",0.105882352941176,6.95335640138408,6.85106552239729,5.43943596810375e-06,0.00154208009695741,0.00141139049067113,"COL9A2/IBSP/SPP1/FGB/FGA/FGG/TNC/LUM/COMP",9
"R-HSA-140875","R-HSA-140875","Common Pathway of Fibrin Clot Formation","5/170","22/11164",0.227272727272727,14.9251336898396,8.12954414030807,1.64796681136069e-05,0.0022919341073295,0.00209769519152222,"FGB/FGA/FGG/F2R/F13A1",5
"R-HSA-3000178","R-HSA-3000178","ECM proteoglycans","8/170","76/11164",0.105263157894737,6.91269349845201,6.43135690076413,1.91636077686212e-05,0.0022919341073295,0.00209769519152222,"COL9A2/IBSP/ASPN/TNC/NCAM1/LUM/COMP/NCAN",8
"R-HSA-381426","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","10/170","125/11164",0.08,5.25364705882353,5.94687279015168,2.02110591475265e-05,0.0022919341073295,0.00209769519152222,"PAPPA2/AMTN/ALB/SPP1/FGA/FGG/IGFBP1/TNC/IGF2/MMP1",10
"R-HSA-1474228","R-HSA-1474228","Degradation of the extracellular matrix","10/170","140/11164",0.0714285714285714,4.69075630252101,5.46445485494283,5.37430692561886e-05,0.00507872004470982,0.00464830406022824,"COL9A2/COL11A1/CAPN13/SPP1/COL25A1/ADAMTS16/COL12A1/CTSV/MMP1/MMP13",10
"R-HSA-373076","R-HSA-373076","Class A/1 (Rhodopsin-like receptors)","15/170","330/11164",0.0454545454545455,2.98502673796791,4.55161973805746,0.000153893584681519,0.012465380359203,0.0114089529696224,"OXTR/HTR1F/F2R/GPR37/ADRA1A/ADRB3/NPFFR1/GPHA2/HTR2A/MLNR/TSHR/CCL3L3/F2RL3/ADRA1D/GRPR",15
"R-HSA-140877","R-HSA-140877","Formation of Fibrin Clot (Clotting Cascade)","5/170","39/11164",0.128205128205128,8.41930618401206,5.77141952799656,0.000292285529639534,0.0207157369132019,0.0189601008042487,"FGB/FGA/FGG/F2R/F13A1",5
"R-HSA-1442490","R-HSA-1442490","Collagen degradation","6/170","64/11164",0.09375,6.15661764705882,5.14434972016022,0.000412119200446656,0.0223562684436325,0.0204615990767861,"COL9A2/COL11A1/COL25A1/COL12A1/MMP1/MMP13",6
"R-HSA-375280","R-HSA-375280","Amine ligand-binding receptors","5/170","42/11164",0.119047619047619,7.81792717086835,5.5045600562371,0.000416239963738557,0.0223562684436325,0.0204615990767861,"HTR1F/ADRA1A/ADRB3/HTR2A/ADRA1D",5
