"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006119","GO:0006119","oxidative phosphorylation","10/114","151/18805",0.0662251655629139,10.9242477053561,9.56227790251041,2.75303173267118e-08,3.80744288628424e-05,3.68326666550007e-05,"MT-ND1/MT-ND2/MT-CO1/MT-CO2/MT-ATP8/MT-ATP6/MT-CO3/MT-ND3/MT-ND4L/MT-ND4",10
"GO:0042776","GO:0042776","proton motive force-driven mitochondrial ATP synthesis","7/114","68/18805",0.102941176470588,16.9807791537668,10.3101184775672,1.78534134901678e-07,4.14985040025249e-05,4.01450687576277e-05,"MT-ND1/MT-ND2/MT-ATP8/MT-ATP6/MT-ND3/MT-ND4L/MT-ND4",7
"GO:1902600","GO:1902600","proton transmembrane transport","10/114","190/18805",0.0526315789473684,8.68190212373038,8.31142189116902,2.39730478675284e-07,4.73638931439882e-05,4.58191636686144e-05,"MT-ND1/MT-ND2/MT-CO1/MT-CO2/MT-ATP8/MT-ATP6/MT-CO3/MT-ND3/MT-ND4L/MT-ND4",10
"GO:0046034","GO:0046034","ATP metabolic process","9/114","230/18805",0.0391304347826087,6.45480549199085,6.50039958725133,1.1152134033182e-05,0.00073444768418527,0.000710494353692946,"LDHC/PRKACA/MT-ND1/MT-ND2/MT-ATP8/MT-ATP6/MT-ND3/MT-ND4L/MT-ND4",9
"GO:0046390","GO:0046390","ribose phosphate biosynthetic process","8/114","180/18805",0.0444444444444444,7.33138401559454,6.66573502198528,1.39953503486226e-05,0.000847659955609254,0.000820014311815932,"LDHC/MT-ND1/MT-ND2/MT-ATP8/MT-ATP6/MT-ND3/MT-ND4L/MT-ND4",8
"GO:0030239","GO:0030239","myofibril assembly","5/114","75/18805",0.0666666666666667,10.9970760233918,6.77479277858955,9.22702983796412e-05,0.00425366075530146,0.00411493155229909,"ACTA1/NRAP/MYBPC1/MYL2/TNNT1",5
"GO:0033275","GO:0033275","actin-myosin filament sliding","3/114","16/18805",0.1875,30.9292763157895,9.35331696828957,0.000114715849209051,0.00511780707922961,0.00495089454481169,"MYL1/MYL11/MYH2",3
"GO:1900118","GO:1900118","negative regulation of execution phase of apoptosis","3/114","21/18805",0.142857142857143,23.5651629072682,8.08007438660536,0.000266494452588987,0.0111685402403203,0.0108042886520128,"MTRNR2L2/MTRNR2L9/MTRNR2L8",3
"GO:0050873","GO:0050873","brown fat cell differentiation","4/114","54/18805",0.0740740740740741,12.2189733593242,6.44761442026307,0.000320711032476702,0.012672667369008,0.0122593600685079,"FABP3/ADIPOQ/LEP/MB",4
"GO:0070482","GO:0070482","response to oxygen levels","9/114","358/18805",0.0251396648044693,4.14694207586004,4.6949250847497,0.000332809820669922,0.0127854439440695,0.0123684585401015,"ADIPOQ/LEP/MB/MT-ND1/MT-ND2/MT-CO1/MT-CO2/MT-ATP6/MT-ND4",9
"GO:0003012","GO:0003012","muscle system process","10/114","467/18805",0.0214132762312634,3.53225139937639,4.32763429805698,0.000551109304688829,0.0190546042096163,0.0184331559541974,"ACTA1/MYL1/LEP/MYL2/MYL11/TRIM72/MYH2/PRKACA/TNNT1/SMPX",10
"GO:0010927","GO:0010927","cellular component assembly involved in morphogenesis","5/114","141/18805",0.0354609929078014,5.84950852308075,4.51404826754199,0.00168441133173113,0.0485321014955032,0.0469492719875058,"ACTA1/NRAP/MYBPC1/MYL2/TNNT1",5
