"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0030534","GO:0030534","adult behavior",150,0.565188628888893,2.39087763210099,1e-10,8.4830671591366e-08,7.32064293690366e-08,7093,"tags=45%, list=20%, signal=36%","3952/58524/3235/6323/6623/7345/2741/51286/2257/1949/124925/1813/84189/1600/54413/3766/2636/114798/1137/50944/26047/2566/85446/4988/2043/23385/26050/5079/57502/4985/4986/2743/7200/6532/7545/7846/238/6900/10752/57555/5090/84152/4923/5048/80243/5413/477/9369/22941/1812/680/7248/91978/1141/9378/434/1476/9379/4204/28996/785/22876/1138/1020/55636/57626/55074"
"GO:0007416","GO:0007416","synapse assembly",273,0.50414023788802,2.28444375990996,1e-10,8.4830671591366e-08,7.32064293690366e-08,8363,"tags=47%, list=24%, signal=36%","404037/5457/4131/27445/55203/1826/84694/2557/8927/119/26280/1949/266977/8128/1813/43/2556/84189/347731/6092/54413/114798/165257/7474/2554/57717/2047/5021/26045/64084/387804/4137/627/2566/9113/57622/4915/41/2596/2561/339398/22865/26999/5818/4139/2555/79414/26050/8825/139065/23316/23767/57502/2045/54674/144165/9806/26052/4897/2558/1007/5649/2895/56130/64101/9844/56127/7855/158038/57463/145581/347730/57555/2562/57633/5789/577/23768/2565/57524/4884/2048/25945/23096/10718/9201/22941/1812/869/94030/54549/2890/26167/23284/1141/80823/9378/654429/11141/9379/4204/23394/84687/56132/1020/22883/57142/10280/6616/4038/22871/9419/8321/55737/91584/55619/54862/56133/51248/7476/1108/200933/1946/29904/9215/27067/56126"
"GO:0099003","GO:0099003","vesicle-mediated transport in synapse",256,0.467338343797025,2.09349210543835,1e-10,8.4830671591366e-08,7.32064293690366e-08,9482,"tags=47%, list=27%, signal=35%","22987/3351/5582/57084/127833/8224/6853/10815/5864/112755/6623/27445/3084/22895/9066/8927/6854/9900/6860/534/54413/22848/5030/9143/6861/27065/57586/57030/7879/396/9498/23208/50632/23025/9892/6812/5865/84251/26052/527/55697/5575/84961/9581/8867/10814/163/8618/440279/801/6456/3208/26985/57555/23396/488/5028/9829/23154/29993/246213/808/22999/5413/55061/7054/528/5874/9805/146395/5532/9378/9783/5579/9501/4193/51382/4638/91683/868/785/134957/6844/6457/1020/22883/1759/143425/6616/22871/9885/6620/55737/9342/8851/8573/4289/7476/28964/3092/523/200933/9751/164/5289/1000/535/9135/8120/5898/84162/85439/1861/140730/6857/6453/161/26059/805/673/4983"
"GO:0007409","GO:0007409","axonogenesis",454,0.435481615044989,2.04614475338859,1e-10,8.4830671591366e-08,7.32064293690366e-08,8033,"tags=41%, list=23%, signal=32%","10716/5457/4744/5458/4747/3798/4130/57611/6469/5864/7070/4131/7345/1826/3897/285220/10381/644168/1949/4858/1813/5979/7224/374946/84189/8941/1600/6092/54413/2636/5080/114798/26128/56896/7474/137970/57556/5454/90249/2047/4137/9723/2297/627/1630/4915/2596/10439/7143/3800/5076/22865/26999/6654/2043/6324/5818/56978/26050/6474/23105/2044/5794/139065/6812/3975/23767/5062/343472/2045/144165/2932/2664/4897/4135/288/5649/6696/80031/8633/8506/4684/440915/51062/5800/659/23114/1944/7504/4781/2046/323/1605/57463/3670/6900/10752/3730/223117/3984/55740/9856/9638/2042/170302/2011/6285/5058/5588/23242/9175/9252/57715/4693/57698/23768/8831/2737/5048/5727/25942/4884/6792/2048/9037/1907/9890/9369/1123/89884/10371/152330/9201/55605/347733/333/4168/64283/80128/56956/5803/8609/7976/5592/84665/658/1909/1141/5532/9378/2115/682/23022/23394/56134/1385/1020/11023/53335/57142/22854/6616/4038/8239/27255/2909/1982/133418/4133/4099/11280/8851/5063/5879/91584/2051/2335/7476/4147/4804/4009/1272/4756/200933/79006"
"GO:0042391","GO:0042391","regulation of membrane potential",459,0.427412660741377,2.01462354487523,1e-10,8.4830671591366e-08,7.32064293690366e-08,8695,"tags=48%, list=25%, signal=36%","3747/3743/1142/401190/6910/3737/2902/6323/8973/112755/10369/2904/2903/2741/93107/6334/2557/2257/3736/3788/610/948/406955/10021/3746/124925/4057/6330/7533/1813/10962/2569/859/285242/7224/6327/2556/51305/2931/54413/3359/3766/55800/3748/3777/1137/2554/1811/2702/482/6262/50944/857/3760/4137/2897/3785/6335/2566/9472/4915/41/4297/23542/6326/2560/2561/3786/407033/2894/6324/2550/2555/3739/57528/2899/9498/3741/2905/29119/23316/57502/287/81033/4985/10052/478/2932/83959/3791/4897/288/2558/5649/90134/8506/2895/6508/5575/2893/2743/9312/3765/2892/5774/6532/6547/2742/151647/3759/801/6548/23327/57555/2570/8001/154/1135/2915/407024/4653/4923/488/781/3767/4693/116443/23613/3757/30820/27133/3745/7531/57369/30819/2565/6546/3756/23630/808/22999/3752/6869/9722/477/9127/375611/123041/1029/2898/3751/388135/1812/348980/81832/869/3728/11334/2890/30845/219736/1829/598/5350/1141/9378/9783/8913/481/3755/4355/4204/56853/785/6331/23620/3781/1138/1020/8326/400916/6543/22871/27012/642938/2629/3787/11280/1634/1139/3060/9096/7476/2891/8912/6328/783/3776/3778/79594/7871/153/18/84866/2852/3754/55584/9631/846/845/8671/6714/1756/2567/64091/3742/6647/5348/170850"
"GO:0050803","GO:0050803","regulation of synapse structure or activity",320,0.435134086797258,1.99257628938094,1e-10,8.4830671591366e-08,7.32064293690366e-08,9110,"tags=46%, list=26%, signal=34%","4747/57084/91752/2904/4131/11202/26280/1949/8128/1813/84189/1600/347731/6092/54413/114798/165257/5100/7474/2047/5021/26045/64084/387804/627/9113/57622/4915/41/339398/22865/26999/57030/2894/57512/2043/5818/4139/79414/26050/8825/26115/139065/23316/23767/57502/2045/54674/144165/11122/26052/4897/5649/8506/2895/10486/80725/9844/5800/9758/158038/1605/57463/9912/7846/145581/4761/23327/347730/57555/9252/57633/5789/7779/577/23613/23768/83992/85461/10882/8831/5048/246213/57524/6792/2048/25945/9890/23096/9201/22941/8976/869/94030/56341/22839/1141/80823/9378/547/654429/11141/9379/4204/816/50807/23394/84687/4763/1020/22883/116987/57142/10152/10280/6616/57026/4038/22871/9419/8321/203068/55737/170506/8851/5063/55619/54862/51248/7476/1108/1946/7534/29904/27067/158866/65078/1000/1639/57496/89910/147381/55799/6572/1627/347902/55209"
"GO:0002768","GO:0002768","immune response-regulating cell surface receptor signaling pathway",366,-0.469580197252368,-1.93653023652828,1e-10,8.4830671591366e-08,7.32064293690366e-08,7907,"tags=37%, list=23%, signal=29%","3654/3071/2358/6850/3661/100/5338/925/79155/25865/1535/958/259197/5335/64332/56244/55072/338339/5583/974/2867/57162/3430/4938/118788/719/2625/23308/93978/5359/2357/929/3822/8631/406941/84433/4843/695/4792/79037/54900/78989/55024/3783/64127/2212/84807/7805/3551/7128/1240/5788/5777/7409/54718/4277/728/2355/9103/7462/79908/387837/406938/2213/919/153579/3458/196051/6967/4068/406953/2209/926/952/3932/2210/3055/11027/2219/3824/257144/971/3821/89857/8547/2268/22914/50852/930/27202/3702/100528032/7097/11006/53347/3502/8013/54923/940/3497/2854/9473/6966/28639/640/257101/915/9840/27040/23547/10288/406932/3823/151888/973/2208/8302/80149/64581/7535/1236/931/1493/3929/28834/26228/3539/64005/28526/3542/3507/10859/115352/3495"
"GO:0002429","GO:0002429","immune response-activating cell surface receptor signaling pathway",334,-0.468113797369384,-1.91773295297205,1.0744860239565e-10,8.4830671591366e-08,7.32064293690366e-08,8245,"tags=38%, list=24%, signal=29%","387357/9214/3656/3684/3654/3071/2358/6850/3661/100/5338/925/79155/25865/1535/259197/5335/64332/56244/55072/5583/974/2867/57162/3430/4938/118788/719/2625/23308/93978/5359/2357/929/3822/8631/406941/84433/4843/695/4792/79037/54900/78989/55024/3783/64127/84807/7805/3551/7128/1240/5788/5777/7409/54718/4277/728/2355/7462/79908/406938/2213/919/153579/3458/196051/6967/4068/406953/926/952/3932/3055/11027/2219/3824/257144/971/3821/89857/8547/2268/22914/50852/930/27202/3702/100528032/7097/11006/53347/3502/8013/54923/940/3497/2854/9473/6966/28639/640/257101/915/9840/27040/406932/3823/973/2208/8302/80149/64581/7535/1236/931/1493/3929/28834/26228/3539/64005/28526/3542/3507/115352/3495"
"GO:0042776","GO:0042776","proton motive force-driven mitochondrial ATP synthesis",67,0.677060985314716,2.51638605095149,1.91193228089722e-10,1.18393687618334e-07,1.02170346736398e-07,997,"tags=13%, list=3%, signal=13%","4508/4535/4509/4538/4539/4536/4537/4541/4540"
"GO:0007156","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules",168,0.517550369244295,2.23045474509876,2.06195466086396e-10,1.18393687618334e-07,1.02170346736398e-07,7670,"tags=52%, list=22%, signal=41%","4680/1830/1823/1826/57526/3897/1825/5979/5101/6092/5100/1005/56111/1008/56112/120114/57717/56110/26025/64084/57863/56108/56141/54798/56109/5099/56103/56098/5818/56114/56142/56143/56144/56147/11122/56102/1007/56113/56140/1015/56130/9752/56105/56107/56127/56104/57575/56097/56099/56106/57463/1012/56146/5097/55714/6900/9708/56138/27328/1004/56139/1014/56135/56136/90952/5098/28316/25945/152330/56137/56145/54549/79633/1829/56101/26167/84665/682/23022/253559/56134/56132/22883/1016/27255/8641/133418/56100"
"GO:0098742","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules",277,0.444499530027619,2.00963301206756,1.82711210218123e-10,1.18393687618334e-07,1.02170346736398e-07,6660,"tags=41%, list=19%, signal=33%","9370/4680/1830/9074/1823/1826/57526/3897/9076/1825/57126/5979/1600/5101/6092/114798/5100/1005/56111/1008/56112/120114/137970/57717/56110/26025/64084/57863/9080/56108/4359/56141/54798/56109/5099/22865/26011/56103/56098/5818/79414/114794/26050/56114/56142/9075/56143/56144/23767/56147/11122/56102/91663/1007/56113/56140/1015/2895/56130/9752/64101/56105/56107/56127/6376/56104/57575/56097/56099/56106/57463/1012/56146/145581/5097/55714/6900/9708/56138/27328/1004/56139/1014/56135/56136/5789/90952/10893/5098/28316/25945/152330/56137/869/56145/94030/54549/79633/1829/56101/26167/84665/23284/9378/682/4155/11141/7122/23418/22920/23022/65125/253559"
"GO:1902414","GO:1902414","protein localization to cell junction",121,0.5721724113578,2.34151599489452,2.43048539116288e-10,1.2074415851265e-07,1.04198735505233e-07,8852,"tags=49%, list=25%, signal=36%","3798/375567/4130/10368/1830/10815/112755/10369/2903/27445/8927/165257/7474/59284/57554/50944/4137/10439/27065/3800/22865/220296/5818/2905/5062/5649/23136/7082/1605/9912/7189/347730/57555/23426/4884/25945/23096/286676/5874/81832/11127/9378/143098/4868/9379/1740/1020/22883/57493/22871/55737/7476/10082/27067/11337/6780/158866/3315/23162"
